radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,649,1,100,10112,0,17.15,-22.5799,5987,27,1,1345445777,1732949028,0
GSM,649,1,103,11242,0,17.1896,-22.5636,3281,27,1,1345445777,1736577790,0
GSM,649,1,103,11240,0,17.1977,-22.562,5178,27,1,1345445777,1736577790,0
GSM,649,1,103,11953,0,17.0514,-22.337,7044,105,1,1345448359,1720070558,0
GSM,649,1,103,11952,0,17.0402,-22.3,13127,96,1,1345448359,1720070711,0
GSM,649,1,103,11951,0,17.0512,-22.3431,9617,105,1,1345448359,1720070558,0
GSM,649,1,115,10041,0,17.0777,-22.4862,9083,27,1,1345448359,1736577609,0
GSM,649,1,103,11241,0,17.2442,-22.5502,13984,27,1,1345448751,1736577793,0
GSM,649,1,103,10172,0,17.3208,-22.5314,20857,27,1,1345448751,1736491370,0
GSM,649,1,103,10171,0,17.2657,-22.5471,11786,27,1,1345448751,1736577793,0
GSM,649,1,103,13812,0,17.371,-22.5176,15479,27,1,1345448751,1736491375,0
GSM,649,1,103,10133,0,17.3893,-22.5141,13018,27,1,1345448751,1736491375,0
GSM,649,1,103,13810,0,17.3623,-22.5204,16422,27,1,1345448756,1736491380,0
GSM,649,1,103,13811,0,17.3861,-22.5155,9061,27,1,1345449808,1736491380,0
GSM,649,1,116,15402,0,17.5404,-22.4629,22796,27,1,1345449810,1736577799,0
GSM,649,1,103,10132,0,17.4762,-22.4913,16967,27,1,1345449810,1736491375,0
GSM,649,1,116,10872,0,17.4851,-22.4875,19298,27,1,1345449810,1734933569,0
GSM,649,1,103,10131,0,17.484,-22.487,16042,27,1,1345449811,1736491375,0
GSM,649,1,103,10591,0,16.8971,-21.9036,10133,127,1,1345449881,1720070703,0
GSM,649,1,103,10533,0,16.8937,-21.8849,19027,149,1,1345449881,1700804172,0
GSM,649,1,103,15981,0,16.8947,-21.91,8620,78,1,1345449881,1720070567,0
GSM,649,1,103,15861,0,16.9007,-21.9305,23783,96,1,1345449881,1700804289,0
GSM,649,1,103,10014,0,17.0983,-22.6809,12179,104,1,1345453484,1706679538,0
GSM,649,1,113,11172,0,17.0752,-22.646,3046,18,1,1345453484,1706679538,0
GSM,649,1,100,10113,0,17.0835,-22.6456,10141,28,1,1345453489,1706679535,0
GSM,649,1,113,10653,0,17.0707,-22.6688,5534,41,1,1345453489,1706679538,0
GSM,649,1,116,10870,0,17.3498,-22.5277,33604,30,1,1345458919,1702272996,0
GSM,649,1,116,15400,0,17.5901,-22.4429,17248,27,1,1345462647,1736577799,0
GSM,649,1,113,10412,0,17.1851,-22.5656,10177,42,1,1345495321,1702359366,0
GSM,649,1,103,10593,0,17.0145,-22.2293,17211,46,1,1345495376,1703309845,0
GSM,649,1,113,11912,0,17.081,-22.6081,9680,8,1,1345518948,1726548427,0
GSM,649,1,113,10652,0,17.1473,-22.5888,7257,14,1,1345537666,1702359380,0
GSM,649,1,115,10421,0,17.0754,-22.4586,7696,24,1,1345550548,1730548156,0
GSM,649,1,115,13821,0,17.0868,-22.5391,8949,15,1,1345550554,1736577786,0
GSM,649,1,103,14451,0,16.8977,-21.9579,2108,7,1,1345566113,1720070608,0
GSM,649,1,115,15801,0,17.0784,-22.4874,4144,19,1,1345588799,1734933588,0
GSM,649,1,115,10423,0,17.0775,-22.4911,3386,17,1,1345588799,1736577618,0
GSM,649,1,115,14171,0,17.076,-22.5154,3810,17,1,1345588804,1736577665,0
GSM,649,1,100,14122,0,17.1452,-22.5828,2642,21,1,1345594725,1732949028,0
GSM,649,1,113,10072,0,17.0765,-22.6304,2456,8,1,1345615436,1706679538,0
GSM,649,1,115,10422,0,17.0786,-22.5079,2103,12,1,1345624522,1736577609,0
GSM,649,1,115,19581,0,17.0773,-22.4943,2817,6,1,1345624522,1730548196,0
GSM,649,1,115,18462,0,17.0786,-22.5092,2121,8,1,1319192855,1736577609,0
GSM,649,1,100,11043,0,17.0846,-22.561,1000,34,1,1384850061,1700718106,0
GSM,649,1,100,11061,0,17.0835,-22.5604,1000,36,1,1384850061,1700718106,0
GSM,649,1,115,13823,0,17.0941,-22.5691,1786,12,1,1385025573,1736577786,0
GSM,649,1,100,10223,0,17.0804,-22.5758,1000,20,1,1239165999,1726548405,0
GSM,649,1,103,10532,0,16.9289,-22.0208,4369,8,1,1239166013,1720070564,0
GSM,649,1,103,10531,0,16.8966,-21.933,4371,13,1,1239166014,1720070567,0
GSM,649,1,108,12731,0,15.8899,-17.4292,5650,39,1,1239166016,1726290170,0
GSM,649,1,108,12732,0,15.8889,-17.4452,4513,43,1,1239166017,1712032499,0
GSM,649,1,108,12733,0,15.8914,-17.4508,1063,11,1,1239166019,1693214625,0
GSM,649,1,113,10411,0,17.0899,-22.5919,1880,18,1,1321364505,1706679581,0
GSM,649,1,113,11202,0,17.0917,-22.5836,1321,5,1,1341859002,1706765597,0
GSM,649,1,106,15680,0,21.5716,-18.1062,4898,9,1,1363521664,1690256391,0
GSM,649,1,112,15753,0,17.7047,-19.256,7636,31,1,1363611946,1727065961,0
GSM,649,1,106,16431,0,20.1533,-17.9098,8667,8,1,1365011209,1691729801,0
